region,tile_id,caption_lr,caption_sr,caption_gt_rs,bleu1_lr,bleu1_sr,rouge1_lr,rouge1_sr,tfidf_lr,tfidf_sr
R1,tile_0014,a blue and white background with a white background,a large body of water,a body of water,0.111111111111111,0.8,0.1538461538461538,0.888888888888889,0.0,0.7765145304745156
R1,tile_0015,a black and white photo of a man in a suit,a small green plant in a white container,a black and white photo of a person with a cell,0.7272727272727273,0.2577334795466146,0.7272727272727273,0.3157894736842105,0.4576241622696325,0.078744603455945
R1,tile_0016,a purple and green background with a black border,a man is playing tennis on a court,a satellite image of a forest,0.2222222222222222,0.25,0.2666666666666666,0.2857142857142857,0.0,0.0
R1,tile_0017,a pink and green background with a black border,a green wall with a white border,a large green field,0.2222222222222222,0.2857142857142857,0.3076923076923076,0.3636363636363636,0.1253669379873173,0.150640184987065
R1,tile_0018,a blur of pink flowers in the sky,a green wall with a concrete floor,a large area of land,0.25,0.1428571428571428,0.3076923076923077,0.1666666666666666,0.1059921313509325,0.0
R1,tile_0019,a tree with white lights,a view of a lake and a road,a river with a boat in it,0.2681280184142557,0.25,0.3333333333333333,0.2666666666666666,0.1273595297947935,0.0
R1,tile_0020,a picture of a person with a green shirt,a large body of water,a river with a boat in it,0.3333333333333333,0.1340640092071278,0.375,0.1666666666666666,0.1016306697911265,0.0
R1,tile_0021,a green field with a white line in the middle,a river running through a lush green forest,a river running through a lush green forest,0.3,1.0,0.3333333333333332,1.0,0.078744603455945,1.0000000000000002
R1,tile_0022,a white circle with a black and white stripe,a cake with a river in the middle,a river running through a lush green forest,0.2222222222222222,0.375,0.2352941176470588,0.375,0.0,0.0919399817407808
R1,tile_0023,a gi is standing in the grass,a satellite image of a road in the middle of a green field,an aerial view of the site of the former castle,0.0930627225044365,0.2307692307692307,0.1176470588235294,0.2608695652173913,0.1244285461998526,0.3103522380003343
R1,tile_0024,a green plant with leaves on it,aerial view of the site of the proposed site,an aerial view of the farm and surrounding fields,0.0,0.4444444444444444,0.0,0.4444444444444444,0.0,0.3612742844568884
R1,tile_0025,a close up of a person ' s face,aerial view of the green fields,an aerial view of the village of the village of the village of the village of the village of the village,0.0292885709017474,0.0547233324159325,0.0689655172413793,0.2962962962962963,0.1481965429809274,0.4093914351737415
R1,tile_0026,a blur of a person in a green shirt,aerial view of the green fields,an aerial view of the village of the village of the village of the village of the village of the village,0.0292885709017474,0.0547233324159325,0.0666666666666666,0.2962962962962963,0.1340657055957229,0.4093914351737415
R1,tile_0027,a close up of a cat ' s face,aerial view of the fields,an aerial view of the site of the proposed site,0.0994265907571521,0.2943035529371539,0.1111111111111111,0.5333333333333333,0.1273595297947935,0.5250790579579575
R1,tile_0028,a green tree in the middle of a street,a large field with a tree in the middle,an aerial view of the site of the proposed site,0.1988531815143043,0.0994265907571521,0.2105263157894737,0.1052631578947368,0.2379030946332623,0.1059921313509325
R1,tile_0029,a white and black cat sitting on a white chair,an aerial view of the site of the proposed site,an aerial view of the site of the proposed site,0.0,1.0,0.0,1.0,0.0,1.0
R1,tile_0030,a close up of a person ' s face,an aerial view of a lake and land,an aerial view of a green field with a road,0.2982797722714565,0.486750489419628,0.3333333333333332,0.5555555555555556,0.0870444679250421,0.368023208756115
R1,tile_0031,a blur of a person on a bike,aerial view of the green fields,an aerial view of the site of the proposed site,0.0973500978839256,0.3422780793550613,0.1111111111111111,0.5,0.1273595297947935,0.4552018457650675
R1,tile_0032,a green tree with a white top,a green field with a white line in the middle,aerial view of the fields and fields in the countryside,0.0,0.2,0.0,0.2,0.0,0.1688913581775007
R1,tile_0033,a large christmas tree in the middle of the city,an aerial view of a residential area in the suburb of the city of sydney,an aerial view of the site of the proposed development,0.3,0.4666666666666667,0.3,0.56,0.3280375488887144,0.5987397476519991
R1,tile_0034,a blur of a building in the city,"a satellite image of the town of laredo, mexico","an aerial view of the town of laredo, colombia",0.2206242256461488,0.5555555555555556,0.2352941176470588,0.5555555555555556,0.232246341124078,0.5043749694851543
R1,tile_0035,a city at night with a bridge and buildings,an aerial view of the city of san,an aerial view of the town of el salvador,0.0,0.6618726769384466,0.0,0.7058823529411765,0.0,0.6201272584968651
R1,tile_0036,a city with lots of lights on it,an aerial view of the intersection of the highway and the intersection of the highway,an aerial view of a city with a road and buildings,0.3436446393954861,0.3333333333333333,0.4210526315789474,0.3846153846153846,0.2357703398303297,0.2507458142011859
R1,tile_0037,a green plant with a white stem,a road that is next to a body of water,a road with a lake in the middle,0.3715190998929349,0.3,0.3999999999999999,0.3333333333333332,0.1016306697911265,0.078744603455945
R1,tile_0038,a white cat with a black nose,a large body of water,a lake with a boat in it,0.4285714285714285,0.1340640092071278,0.4285714285714285,0.1666666666666666,0.1123427789154277,0.0
R1,tile_0039,a green and pink background with a small white dot,a green wall with a white background,an aerial view of the golf course at the golf club,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0040,a pink and green background with a small amount of light,a green and brown wall with a white border,a satellite image of a forest,0.2727272727272727,0.2222222222222222,0.3529411764705882,0.2666666666666666,0.0926978966862705,0.0
R1,tile_0041,a green and red background with a small white dot,a green patch of land,a satellite image of a forest,0.2,0.3274923012311928,0.25,0.3636363636363636,0.0,0.1443835552773867
R1,tile_0042,a baseball game is being played on a field,a large body of water,a river that is in the middle of a town,0.2982797722714565,0.1471517764685769,0.3157894736842105,0.2666666666666666,0.0724408192504198,0.0986796179798695
R1,tile_0043,a white light is on the ground,a large body of water,a large body of water,0.1428571428571428,1.0,0.1666666666666666,1.0,0.0,1.0
R1,tile_0044,a very colorful background with a lot of small circles,a green wall with a small patch of grass,aerial view of a forest,0.2,0.2222222222222222,0.2666666666666666,0.2857142857142857,0.0986796179798695,0.1059921313509325
R1,tile_0045,a green glow on a white background,a green leaf with a brown spot,a heart shaped lake in the middle of a forest,0.186125445008873,0.186125445008873,0.2352941176470588,0.2352941176470588,0.0,0.0
R1,tile_0046,a man in a suit and tie is holding a cell,an aerial image of the site of the proposed site,an aerial view of the site of the former home of the late king of egypt,0.0,0.3841681452658184,0.0,0.5384615384615384,0.0,0.6729878432294506
R1,tile_0047,a white bird is flying through the air,a satellite image of a green field,an aerial view of the golf course at the golf course,0.0859111598488715,0.0806740174296798,0.1052631578947368,0.1111111111111111,0.1024042061127642,0.0586986864673119
R1,tile_0048,a green and white flower on a white background,an aerial view of the site of the proposed site,an aerial view of the site of the proposed site,0.0,1.0,0.0,1.0,0.0,1.0
R1,tile_0049,a close up of a green and yellow flower,an aerial view of the site of the proposed site,an aerial view of the site of the former military base in the village of kha,0.0510473137817696,0.4390493088752211,0.08,0.6153846153846154,0.1226770626338242,0.7091655977526157
R1,tile_0050,a blurry image of a person in a chair,aerial view of the road,an aerial view of the site of the proposed site,0.0994265907571521,0.2943035529371539,0.1052631578947368,0.5333333333333333,0.1152155433779312,0.5250790579579575
R1,tile_0051,a blur of a green leaf,aerial view of the farm,an aerial view of the site of the proposed site,0.0855695198387653,0.2943035529371539,0.125,0.5333333333333333,0.1443835552773867,0.5250790579579575
R1,tile_0052,a black cat sitting on a white chair,an aerial view of a farm and field,"an aerial view of the site of the former military base in the town of khar, ukraine",0.0,0.1623262336791748,0.0,0.3199999999999999,0.0,0.2820810743542495
R1,tile_0053,a close up of a green and white diamond,an aerial view of a farm in the middle of a rural area,the site of the proposed site in the middle of the village,0.0796145900637543,0.3846153846153846,0.0952380952380952,0.4,0.07780894359285,0.3958487186827538
R1,tile_0054,a blur of a building,an aerial view of a farm and fields,an aerial view of the site of the proposed site,0.0735758882342884,0.3894003915357024,0.1333333333333333,0.4444444444444445,0.1707761131901165,0.3188231972456646
R1,tile_0055,a green plant in a pot,an aerial view of the site of the proposed site,an aerial view of the site of the former farm,0.0,0.8,0.0,0.8000000000000002,0.0,0.7900322566465156
R1,tile_0056,a white and black cat is standing in the grass,an aerial view of the city of san,"an aerial view of the city of san, california",0.1,0.772184789761521,0.1052631578947368,0.9411764705882352,0.0535509531499673,0.9138106509294462
R1,tile_0057,a green and white background with a small flower,an aerial view of the site of the proposed school,"an aerial view of the town of laredo, mexico",0.0,0.6,0.0,0.631578947368421,0.0,0.5862086802424396
R1,tile_0058,a large cluster of pink flowers,a satellite image of the city of new orleans,a satellite image of the city of puerto,0.238843770191263,0.7777777777777778,0.2857142857142857,0.823529411764706,0.1799534137821785,0.7327068970668786
R1,tile_0059,a large white flower with many small white flowers,a satellite image of the city of san,"a satellite image of the city of gula, mexico",0.111111111111111,0.772184789761521,0.1111111111111111,0.823529411764706,0.0,0.7327068970668786
R1,tile_0060,a white object is seen in the sky,a large area of land,an aerial view of the city of chandi,0.125,0.1097623272188052,0.125,0.1538461538461538,0.0643709936653275,0.1908740661302035
R1,tile_0061,a soccer ball is on the ground,an aerial view of the road that leads to the site of the proposed proposed site,an aerial view of the road leading to the airport,0.0930627225044365,0.5,0.1176470588235294,0.6153846153846154,0.1362763414390864,0.5664587937100548
R1,tile_0062,a white car driving down a road in the woods,an aerial view of the road that goes through the forest,an aerial view of the highway that runs through the park,0.0904837418035959,0.7272727272727273,0.0952380952380952,0.7272727272727273,0.1112985988631251,0.6279041938452457
R1,tile_0063,a plane flying over a forest filled with trees,a large green field,a road with a bunch of trees in the background,0.3977063630286087,0.0557825400371074,0.4210526315789474,0.1428571428571428,0.1559289254870836,0.0
R1,tile_0064,a tree with a white and green background,a satellite image of a city,a satellite image of the city of port de lagos,0.0973500978839256,0.4278475991938267,0.1111111111111111,0.625,0.0,0.6476308251809643
R1,tile_0065,a white and green pattern on a brown background,a lake surrounded by trees,a river running through a city,0.2222222222222222,0.1637461506155964,0.2666666666666666,0.1818181818181818,0.0,0.0
R1,tile_0066,a very colorful sky,a green wall with a black and white sign,an aerial view of the site of the former home of the late president of the united states,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0067,a black and white cat is standing in the grass,a large patch of land with a small patch of land,a river in the middle of a forest,0.3,0.2727272727272727,0.3333333333333332,0.3157894736842105,0.1597642092414444,0.1195566314208806
R1,tile_0068,a black and white image of a person with a hat,a pink and green background with a black border,a green plant with a pink sky in the background,0.2727272727272727,0.596559544542913,0.2857142857142856,0.631578947368421,0.0674430476929674,0.368023208756115
R1,tile_0069,a green and white diamond,an aerial view of the site of the proposed site,an aerial view of the site of the former site,0.0,0.9,0.0,0.9,0.0,0.8836351388995088
R1,tile_0070,a green and white diamond,aerial image of the road leading to the village of stow,an aerial view of the site of the proposed site,0.0,0.4545454545454545,0.0,0.4761904761904761,0.0,0.4125163925077325
R1,tile_0071,a green and white square,aerial view of the fields,an aerial view of the farm land,0.0,0.5362560368285115,0.0,0.6666666666666666,0.0,0.5193879933129156
R1,tile_0072,a black and white cat,a green field with a red line in the middle,an aerial view of a green field,0.1340640092071278,0.3,0.1666666666666666,0.3529411764705882,0.0,0.1707761131901165
R1,tile_0073,a black and white dog,an aerial view of a green field,an aerial view of the countryside,0.0,0.5714285714285714,0.0,0.6153846153846153,0.0,0.5031026124151314
R1,tile_0074,a black and white cat sitting on top of a table,aerial view of farmland fields,an aerial view of the countryside,0.0909090909090909,0.4912384518467891,0.1176470588235294,0.5454545454545454,0.0739712948346599,0.3808726084759437
R1,tile_0075,a green and white object with a black background,aerial view of the fields,an aerial view of the farm land,0.0,0.5362560368285115,0.0,0.6666666666666666,0.0,0.5193879933129156
R1,tile_0076,a black and white cat is looking at the camera,an aerial view of the countryside,an aerial view of the countryside,0.1,1.0,0.125,1.0,0.0739712948346599,1.0000000000000002
R1,tile_0077,a green and white cat is sitting on a white surface,an aerial view of the site of the former castle,google earth view of the site of the proposed site,0.0,0.6,0.0,0.6,0.0,0.5976138776801605
R1,tile_0078,a blur of a plant in a pot,a satellite image of a small town,an aerial view of the village,0.125,0.1428571428571428,0.1428571428571428,0.1538461538461538,0.1016306697911265,0.1016306697911265
R1,tile_0079,a black bear is seen in this image,a satellite image of a small town,an aerial view of the city of kabul,0.0,0.1238396999643116,0.0,0.1333333333333333,0.0,0.1683684216367984
R1,tile_0080,a satellite satellite is seen in this image taken from the international space station,an aerial view of the site of the proposed school,an aerial view of the site of the proposed site,0.0714285714285714,0.9,0.0833333333333333,0.9,0.0709841373470141,0.9044401059413036
R1,tile_0081,a small white object in the dark sky,"a satellite image of the city of fort, texas",an aerial view of the town of san,0.125,0.3333333333333333,0.125,0.3529411764705882,0.0643709936653275,0.3360969272762575
R1,tile_0082,a green and white background with a white and black pattern,"a satellite image of the site of the former us embassy in the city of ti, guatemala",a satellite image of the town of kaloa,0.0909090909090909,0.3529411764705882,0.1052631578947368,0.48,0.0,0.555539342467105
R1,tile_0083,a green light shining in the dark sky,a satellite image of a green area with a small patch of land,a large boat is floating in the water,0.375,0.0769230769230769,0.375,0.0952380952380952,0.1683975003721527,0.0
R1,tile_0084,a black cat is sitting on a tree,a large patch of land,a brown and green floor with a brown and green pattern,0.171822319697743,0.0602388423824404,0.2105263157894737,0.125,0.0,0.0
R1,tile_0085,"a large, green, and pink colored object",a green wall with a small patch of grass,aerial view of the jungle,0.0,0.111111111111111,0.0,0.1428571428571428,0.0,0.0934947749753671
R1,tile_0086,a tree with white flowers in the background,a satellite image of a green field,a satellite image of the site of the proposed new school,0.171822319697743,0.3226960697187195,0.2105263157894737,0.4444444444444444,0.1144676006896003,0.3249317266808787
R1,tile_0087,a christmas tree with lights on it,a bridge over a river,an aerial view of the bridge that crosses the river,0.0,0.1471517764685769,0.0,0.2666666666666666,0.0,0.2150703257057707
R1,tile_0088,a street with cars parked on it and a tree in the background,a bridge over a river,an aerial view of the bridge that crosses the river,0.0769230769230769,0.1471517764685769,0.0869565217391304,0.2666666666666666,0.098656215119193,0.2150703257057707
R1,tile_0089,a view of a road with a car driving down it,a road in the middle of a forest,a road with a bunch of trees on it,0.5454545454545454,0.4412484512922977,0.6,0.4705882352941176,0.368023208756115,0.184431916622613
R1,tile_0090,a tree with a white sky in the background,a green area with a white border,a satellite image of the area where the proposed proposed gold mine is located,0.1275007601638739,0.1051084117632692,0.1739130434782608,0.1904761904761904,0.1024042061127642,0.0586986864673119
R1,tile_0091,a white cloud with a green background,a large body of water,a large body of water surrounded by trees,0.1238396999643116,0.5488116360940264,0.1333333333333333,0.7692307692307693,0.0,0.6348087971775132
R1,tile_0092,a white and black dog is standing in the grass,a picture of a hill with a river running through it,an aerial view of the river and surrounding farmland,0.2,0.1818181818181818,0.2105263157894737,0.1999999999999999,0.1263637396650437,0.1350734836708713
R1,tile_0093,a blur of a tree in the forest,aerial view of the site of the proposed new bridge,an aerial view of the site of the proposed site,0.1947001957678512,0.8,0.2222222222222222,0.8000000000000002,0.2605556710562624,0.7900322566465154
R1,tile_0094,a white object with a green light on it,an aerial view of the countryside,an aerial view of the site of the proposed site,0.0,0.4278475991938267,0.0,0.625,0.0,0.5800762373653504
R1,tile_0095,a close up of a diamond,aerial view of the green fields,an aerial view of the land in the amazon rainforest,0.0855695198387653,0.3422780793550613,0.125,0.5,0.0797025118126694,0.4316433290730968
R1,tile_0096,a purple and white background with a black and white pattern,an aerial view of the countryside,an aerial view of the farm land,0.0,0.7054014374088451,0.0,0.7692307692307692,0.0,0.6327904583679946
R1,tile_0097,a blur of a building,an aerial view of a green field,an aerial view of the fields and fields in the countryside,0.0602388423824404,0.3226960697187195,0.125,0.4444444444444444,0.0839596659812619,0.2796724903912866
R1,tile_0098,a cat is sitting on a chair in the dark,aerial view of the river and fields,an aerial view of the site of the proposed site,0.1,0.372250890017746,0.1,0.4705882352941176,0.0986796179798696,0.4073977862140973
R1,tile_0099,a man in a white shirt and tie,an aerial view of a large field with a small lake,an aerial view of the site of the proposed site,0.0,0.3636363636363636,0.0,0.380952380952381,0.0,0.2696463119784563
R1,tile_0100,a cat is standing in the middle of a room,aerial view of a field,the aerial image shows the green fields and the surrounding area,0.0904837418035959,0.0602388423824404,0.0952380952380952,0.125,0.156437454844706,0.0665448832601577
R1,tile_0101,a blur of a tree in the night,an aerial view of the village,an aerial view of a small town,0.25,0.5643211499270759,0.2666666666666666,0.6153846153846153,0.0919399817407808,0.5031026124151314
R1,tile_0102,a blur of a tree in the forest,an aerial view of the site of the former home of the late president of the united states,the site of the former school in the village of the same,0.2274489973922375,0.4444444444444444,0.3,0.5333333333333333,0.4216523449182836,0.6737547598623191
R1,tile_0103,a blur of a tree in the forest,a satellite image of the area where the plane crashed,an aerial view of the golf course at the golf course,0.171822319697743,0.2714512254107878,0.2105263157894737,0.2857142857142856,0.1779522202540932,0.2273386433270408
R1,tile_0104,a white christmas tree with a red background,a large green field,a satellite image of the town of san,0.125,0.0919698602928605,0.125,0.1666666666666666,0.0,0.0
R1,tile_0105,a close up of a plant with a blur,a satellite image of a small town,"an aerial view of the town of laredo, mexico",0.111111111111111,0.2147077980215102,0.1111111111111111,0.25,0.1436279986530886,0.2595784776110048
R1,tile_0106,a man in a suit and tie is standing on a stair,an aerial view of the area where the site of the proposed new school is located,a satellite image of the site of the proposed new york airport,0.0833333333333333,0.4375,0.0833333333333333,0.5,0.0,0.5302314454848746
R1,tile_0107,a blur of red and green leaves,a green wall with a small patch of grass,a large green field with a small patch of grass,0.2791881675133095,0.7954127260572175,0.3529411764705882,0.8421052631578948,0.1707761131901165,0.6735205045780811
R1,tile_0108,a cross in the middle of a forest,a green wall with a white and black sign,an aerial view of the site of the proposed home,0.1947001957678512,0.0,0.2222222222222222,0.0,0.2853061909813609,0.0
R1,tile_0109,a green and white christmas tree with white stars,a small town on a small island,a river that is in the middle of a city,0.0994265907571521,0.186125445008873,0.1052631578947368,0.2352941176470588,0.0,0.0
R1,tile_0110,a green and white object is seen in this image,a small boat is floating in a body of water,a boat is sailing down the river,0.2,0.3,0.2352941176470588,0.3529411764705882,0.0739712948346599,0.1707761131901165
R1,tile_0111,a white bird is flying through the air,a large green patch of land,an aerial view of the site of the proposed site,0.0973500978839256,0.0855695198387653,0.1111111111111111,0.125,0.1059921313509325,0.1273595297947935
R1,tile_0112,a black cat is sitting on a white surface,a green field,a road with a few cars on it,0.3333333333333333,0.0629585342791872,0.3529411764705882,0.1818181818181818,0.0845798608014702,0.0
R1,tile_0113,a bridge at night with a light on it,a road in the middle of a green field,a road with a lot of cars on it,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.275195812175023,0.1683975003721527
R1,tile_0114,the moon is seen over the city lights,a road in the middle of a green area,a large area of land with a lot of trees,0.0,0.3977063630286087,0.0,0.4210526315789474,0.0,0.2256946924331068
R1,tile_0115,a green eyeliner with a black eyeliner,a green leaf,a large body of water,0.1428571428571428,0.1711390396775306,0.1666666666666666,0.25,0.0,0.0
R1,tile_0116,a black and white cat,a cake with a slice missing,a large body of water with a small island in the middle,0.0493193927883213,0.1839397205857211,0.1176470588235294,0.3333333333333333,0.0,0.0876868198014244
R1,tile_0117,a white and black kite,a picture of a green field with a bird flying over it,a satellite image of a beach and a body of water,0.1204776847648808,0.3333333333333333,0.25,0.3478260869565217,0.0876868198014244,0.1225459812804398
R1,tile_0118,a white diamond with a black band,a green field with a small patch of grass,an aerial view of the beach and the ocean,0.0,0.111111111111111,0.0,0.1111111111111111,0.0,0.0612309433454452
R1,tile_0119,a blur of a person in a green shirt,an aerial view of the countryside,an aerial view of the countryside,0.111111111111111,1.0,0.1333333333333333,1.0,0.0919399817407808,1.0000000000000002
R1,tile_0120,a blur of a building in the sky,a green field with a small patch of grass,a green field with a small patch of grass,0.3309363384692233,1.0,0.3529411764705882,1.0,0.0845798608014702,1.0000000000000004
R1,tile_0121,a blur of a building in the middle of a street,an aerial view of a field with a small house,an aerial view of the site of the proposed site,0.2727272727272727,0.4,0.2857142857142856,0.4000000000000001,0.3188495414330836,0.2911650526086002
R1,tile_0122,a close up of a green and white tile,an aerial view of the site of the proposed site,an aerial view of the site of the proposed site,0.0994265907571521,1.0,0.1052631578947368,1.0,0.1059921313509325,1.0
R1,tile_0123,a man with a beard and a white shirt,an aerial view of a green field,an aerial view of the farm land,0.0,0.5714285714285714,0.0,0.5714285714285714,0.0,0.4502681446556265
R1,tile_0124,a red and green abstract background,a painting of a green field with a small patch of grass,an aerial view of a farm in the countryside,0.1010884432854389,0.1666666666666666,0.1333333333333333,0.1904761904761905,0.0,0.1230142706684034
R1,tile_0125,a green leaf with a white background,an aerial view of a green field,an aerial view of the site of the proposed site,0.0,0.372250890017746,0.0,0.4705882352941176,0.0,0.3562339138059969
R1,tile_0126,a green leaf with a white background,an aerial view of the site of the proposed site,the site of the ancient roman city of pomp,0.0,0.5,0.0,0.5263157894736842,0.0,0.5452535979648305
R1,tile_0127,a dog is sitting on a green surface,aerial view of the site of the proposed site,an aerial view of the road that runs through the countryside,0.0,0.44485411273156,0.0,0.5,0.0,0.4132754791400617
R1,tile_0128,a close up of a green and white flower,an aerial view of the site of the former site of the former site of the former site,an aerial view of the site of the proposed airport,0.0994265907571521,0.4444444444444444,0.1052631578947368,0.5714285714285714,0.1144676006896003,0.6944063917023073
R1,tile_0129,a green and white flower with a blur effect,an aerial view of the countryside,an aerial view of a road in the countryside,0.111111111111111,0.6065306597126334,0.1111111111111111,0.8,0.0,0.7765145304745155
R1,tile_0130,a green plant with a white flower in the middle,a green field with a small patch of land,aerial view of a field,0.1,0.3333333333333333,0.1333333333333333,0.4285714285714285,0.0,0.2379030946332623
R1,tile_0131,a green and white background with a white border,a large body of water,a river with a small boat in it,0.3333333333333333,0.1097623272188052,0.3529411764705882,0.1538461538461538,0.0739712948346599,0.0
R1,tile_0132,a person ' s hand with a green and black wrist,a river with a green and brown color,a river with a boat in it,0.2727272727272727,0.5,0.3529411764705882,0.5333333333333333,0.0934947749753671,0.2257648460026161
R1,tile_0133,a man in a white shirt and black pants,a large body of water,a large green field,0.111111111111111,0.4,0.1538461538461538,0.4444444444444445,0.0,0.1707761131901164
R1,tile_0134,a green and red background with a white and black background,a green wall with a red spot in the middle,the crater crater in the crater crater crater crater crater crater crater crater crater crater crater crater crater crater crater crater,0.0,0.0665742167396159,0.0,0.1290322580645161,0.0,0.031738229701757
R1,tile_0135,a green hill,a green and brown area,a painting of a mountain with a red sky,0.0451117610788708,0.0898657928234443,0.1666666666666666,0.1428571428571428,0.0,0.0
R1,tile_0136,a close up of a green eye with a black background,a river in the middle of a green field,a green field with a small river in the middle,0.3636363636363636,0.7954127260572175,0.380952380952381,0.8421052631578948,0.1443835552773867,0.6735205045780811
R1,tile_0137,a green substance,a green tree,a green hill,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3360969272762575,0.3360969272762575
R1,tile_0138,a bird is sitting on a branch,a green field,a picture of a beach with a surf board,0.2147077980215102,0.0451117610788708,0.25,0.1666666666666666,0.0,0.0
R1,tile_0139,a black and white bird flying through the sky,a green and black object,a large body of water,0.111111111111111,0.2,0.1428571428571428,0.2,0.0,0.0
R1,tile_0140,a black and white photo of a black and white photo of a black and white photo of a black and,a piece of green algae,a large body of water,0.0952380952380952,0.4,0.1538461538461538,0.4000000000000001,0.1098090192684568,0.1443835552773867
R1,tile_0141,a black and white cat with a black nose,a bird flying in the sky,a river with a small island in the middle,0.3333333333333333,0.3032653298563167,0.3333333333333333,0.4,0.0680496308783247,0.206136966068286
R1,tile_0142,a close up of a diamond,a river with a green field and a road,a river that is in the middle of a green area,0.2172991042535391,0.3558832901852479,0.3529411764705882,0.3999999999999999,0.0926978966862705,0.1597642092414444
R1,tile_0143,a green and white object on a table,aerial view of the amazon river,an aerial view of the land that is being used for the development of the site,0.0,0.1259170685583745,0.0,0.3636363636363636,0.0,0.4336158758156958
R1,tile_0144,a blur of a person in a suit,aerial view of the fields,an aerial view of the site of the proposed site,0.0973500978839256,0.2943035529371539,0.1111111111111111,0.5333333333333333,0.1273595297947935,0.5250790579579575
R1,tile_0145,a green glass vase,aerial view of the fields,an aerial view of the village of the village of the village of the village of the village of the village,0.0,0.0326097631826929,0.0,0.3076923076923077,0.0,0.4722363740766291
R1,tile_0146,a black and white cat is looking at the camera,aerial view of farmland fields,an aerial view of the fields in the countryside,0.1,0.3594631712937772,0.1052631578947368,0.5714285714285714,0.1155574412102285,0.3875572553672504
R1,tile_0147,a red and green background with a pattern,an aerial view of a farm in the middle of a rural area,an aerial view of a green field,0.25,0.3846153846153846,0.2666666666666666,0.5,0.0919399817407808,0.40840369224375
R1,tile_0148,a dog is sitting on a couch,"aerial image of the village of stow, suffolk",aerial view of the countryside,0.0,0.375,0.0,0.4615384615384615,0.0,0.4069290338737718
R1,tile_0149,a green leaf with a white flower,aerial image of the site of the old railway,an aerial view of the site of the proposed site,0.0,0.596559544542913,0.0,0.631578947368421,0.0,0.6335924583491562
R1,tile_0150,a cat is sitting on a table,an aerial view of a green field with a road,an aerial view of the site of the former farm,0.0,0.4,0.0,0.4000000000000001,0.0,0.3175817449949781
R1,tile_0151,a close up of a diamond,aerial view of the river and fields,an aerial view of the site of the proposed site,0.0855695198387653,0.372250890017746,0.125,0.4705882352941176,0.1443835552773867,0.4073977862140973
R1,tile_0152,a man in a suit and tie is holding a cell,aerial view of the fields,an aerial view of a field with a road,0.1818181818181818,0.2695973784703329,0.1999999999999999,0.4285714285714285,0.0,0.3446421410380547
