region,tile_id,classe,caption_lr,caption_sr,bleu1_lr,bleu1_sr,rouge1_lr,rouge1_sr,tfidf_lr,tfidf_sr
R1,tile_0053,cultivated vegetation,a close up of a green and white diamond,an aerial view of a farm in the middle of a rural area,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0054,cultivated vegetation,a blur of a building,an aerial view of a farm and fields,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0055,cultivated vegetation,a green plant in a pot,an aerial view of the site of the proposed site,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0056,urban area,a white and black cat is standing in the grass,an aerial view of the city of san,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0057,field,a green and white background with a small flower,an aerial view of the site of the proposed school,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0058,urban area,a large cluster of pink flowers,a satellite image of the city of new orleans,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0059,urban area,a large white flower with many small white flowers,a satellite image of the city of san,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0060,bare ground,a white object is seen in the sky,a large area of land,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0061,bare ground,a soccer ball is on the ground,an aerial view of the road that leads to the site of the proposed proposed site,0.1428571428571428,0.0,0.2222222222222222,0.0,0.1757860783933462,0.0
R1,tile_0062,field,a white car driving down a road in the woods,an aerial view of the road that goes through the forest,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0063,field,a plane flying over a forest filled with trees,a large green field,0.0,0.25,0.0,0.4,0.0,0.4494364165239821
R1,tile_0064,field,a tree with a white and green background,a satellite image of a city,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0065,water body,a white and green pattern on a brown background,a lake surrounded by trees,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0066,bare ground,a very colorful sky,a green wall with a black and white sign,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0067,forest,a black and white cat is standing in the grass,a large patch of land with a small patch of land,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0072,cultivated vegetation,a black and white cat,a green field with a red line in the middle,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0073,cultivated vegetation,a black and white dog,an aerial view of a green field,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0074,cultivated vegetation,a black and white cat sitting on top of a table,aerial view of farmland fields,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0075,cultivated vegetation,a green and white object with a black background,aerial view of the fields,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0076,cultivated vegetation,a black and white cat is looking at the camera,an aerial view of the countryside,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0077,cultivated vegetation,a green and white cat is sitting on a white surface,an aerial view of the site of the former castle,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0078,field,a blur of a plant in a pot,a satellite image of a small town,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0079,field,a black bear is seen in this image,a satellite image of a small town,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0080,field,a satellite satellite is seen in this image taken from the international space station,an aerial view of the site of the proposed school,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0081,urban area,a small white object in the dark sky,"a satellite image of the city of fort, texas",0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0082,urban area,a green and white background with a white and black pattern,"a satellite image of the site of the former us embassy in the city of ti, guatemala",0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0083,bare ground,a green light shining in the dark sky,a satellite image of a green area with a small patch of land,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0084,bare ground,a black cat is sitting on a tree,a large patch of land,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0085,forest,"a large, green, and pink colored object",a green wall with a small patch of grass,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0086,forest,a tree with white flowers in the background,a satellite image of a green field,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0087,water body,a christmas tree with lights on it,a bridge over a river,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0088,field,a street with cars parked on it and a tree in the background,a bridge over a river,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0089,forest,a view of a road with a car driving down it,a road in the middle of a forest,0.0,0.125,0.0,0.2222222222222222,0.0,0.3032160644503863
R1,tile_0090,bare ground,a tree with a white sky in the background,a green area with a white border,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0095,cultivated vegetation,a close up of a diamond,aerial view of the green fields,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0096,cultivated vegetation,a purple and white background with a black and white pattern,an aerial view of the countryside,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0097,cultivated vegetation,a blur of a building,an aerial view of a green field,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0098,cultivated vegetation,a cat is sitting on a chair in the dark,aerial view of the river and fields,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0099,bare ground,a man in a white shirt and tie,an aerial view of a large field with a small lake,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0100,cultivated vegetation,a cat is standing in the middle of a room,aerial view of a field,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0101,field,a blur of a tree in the night,an aerial view of the village,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0102,field,a blur of a tree in the forest,an aerial view of the site of the former home of the late president of the united states,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0103,field,a blur of a tree in the forest,a satellite image of the area where the plane crashed,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0104,cultivated vegetation,a white christmas tree with a red background,a large green field,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0105,urban area,a close up of a plant with a blur,a satellite image of a small town,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0106,bare ground,a man in a suit and tie is standing on a stair,an aerial view of the area where the site of the proposed new school is located,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0107,bare ground,a blur of red and green leaves,a green wall with a small patch of grass,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0108,bare ground,a cross in the middle of a forest,a green wall with a white and black sign,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0109,water body,a green and white christmas tree with white stars,a small town on a small island,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0110,water body,a green and white object is seen in this image,a small boat is floating in a body of water,0.0,0.2,0.0,0.3333333333333333,0.0,0.3799783615910079
R1,tile_0111,bare ground,a white bird is flying through the air,a large green patch of land,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0112,bare ground,a black cat is sitting on a white surface,a green field,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0113,bare ground,a bridge at night with a light on it,a road in the middle of a green field,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0118,forest,a white diamond with a black band,a green field with a small patch of grass,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0119,cultivated vegetation,a blur of a person in a green shirt,an aerial view of the countryside,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0120,cultivated vegetation,a blur of a building in the sky,a green field with a small patch of grass,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0121,cultivated vegetation,a blur of a building in the middle of a street,an aerial view of a field with a small house,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0122,cultivated vegetation,a close up of a green and white tile,an aerial view of the site of the proposed site,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0123,cultivated vegetation,a man with a beard and a white shirt,an aerial view of a green field,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0124,cultivated vegetation,a red and green abstract background,a painting of a green field with a small patch of grass,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0125,cultivated vegetation,a green leaf with a white background,an aerial view of a green field,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0126,field,a green leaf with a white background,an aerial view of the site of the proposed site,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0127,cultivated vegetation,a dog is sitting on a green surface,aerial view of the site of the proposed site,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0128,cultivated vegetation,a close up of a green and white flower,an aerial view of the site of the former site of the former site of the former site,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0129,cultivated vegetation,a green and white flower with a blur effect,an aerial view of the countryside,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0130,bare ground,a green plant with a white flower in the middle,a green field with a small patch of land,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0131,field,a green and white background with a white border,a large body of water,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0132,water body,a person ' s hand with a green and black wrist,a river with a green and brown color,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0133,bare ground,a man in a white shirt and black pants,a large body of water,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0134,bare ground,a green and red background with a white and black background,a green wall with a red spot in the middle,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0135,bare ground,a green hill,a green and brown area,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0136,bare ground,a close up of a green eye with a black background,a river in the middle of a green field,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0141,water body,a black and white cat with a black nose,a bird flying in the sky,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0142,water body,a close up of a diamond,a river with a green field and a road,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0143,cultivated vegetation,a green and white object on a table,aerial view of the amazon river,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0144,cultivated vegetation,a blur of a person in a suit,aerial view of the fields,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0145,cultivated vegetation,a green glass vase,aerial view of the fields,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0146,cultivated vegetation,a black and white cat is looking at the camera,aerial view of farmland fields,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0147,cultivated vegetation,a red and green background with a pattern,an aerial view of a farm in the middle of a rural area,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0148,cultivated vegetation,a dog is sitting on a couch,"aerial image of the village of stow, suffolk",0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0149,cultivated vegetation,a green leaf with a white flower,aerial image of the site of the old railway,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0150,cultivated vegetation,a cat is sitting on a table,an aerial view of a green field with a road,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0151,cultivated vegetation,a close up of a diamond,aerial view of the river and fields,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0152,cultivated vegetation,a man in a suit and tie is holding a cell,aerial view of the fields,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0153,cultivated vegetation,a blur of a red and green object,aerial view of the site of the proposed site,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0154,water body,a black and green ring with a green center,a bird is perched on a tree branch,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0155,water body,a green and white flower on a pink background,a satellite image of a green area with a river,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0156,forest,a pink and green background with a small white dot,a green wall with a white background,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0157,bare ground,a pink and blue star with a black background,a pink lake,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0158,bare ground,a blur of a tree in the background,a red and yellow substance,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0159,bare ground,a green and white object in the sky,a green patch of grass,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0164,water body,a black and white cat,a piece of cake,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0165,water body,a black and white cat with a black tail,a bird flying in the sky,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0166,water body,a close up of a pair of green eyes,a close up of a piece of cake,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0167,forest,a green and white diamond,an aerial view of the river and surrounding land,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0168,cultivated vegetation,a green and white box with a red stripe,aerial view of the farm,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0169,cultivated vegetation,a blur of a building,aerial view of the site of the proposed site,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0170,cultivated vegetation,a red flower in a field,a field with a road and a small hill,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0171,cultivated vegetation,a red and green plant,an aerial view of the site of the proposed site,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0172,cultivated vegetation,a green and white light shining through a window,aerial view of a green field,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0173,cultivated vegetation,a blur of a person in a green shirt,an aerial view of a field with a small house,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0174,cultivated vegetation,a white cat is sitting on a chair,aerial view of the fields,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0175,cultivated vegetation,a green and white diamond,an aerial view of the river and surrounding farmland,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0176,water body,a close up of a person ' s face,an aerial view of the river and surrounding land,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0177,water body,a green and white striped pattern,a bird ' s eye view of a lake and a forest,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0178,forest,a green and white substance,a satellite image of the site of the proposed site,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0179,bare ground,a blur of pink and green in the sky,a green wall with a white spot,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0180,bare ground,a blur of pink flowers in the background,a green and purple background,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0181,bare ground,a very colorful background with a lot of small flowers,a green and yellow colored background with a small patch of grass,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0182,bare ground,a green and red background with a small amount of light,a green and purple colored granite wall,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0187,cultivated vegetation,a close up of a green and white striped pattern,a river running through a lush green countryside,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0188,water body,a person ' s hand with a green nail,a river with a small island in the middle,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0189,water body,a black and white cat is sitting on a white surface,a bird is perched on a branch of a tree,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0190,water body,a black and white cat laying on top of a bed,a close up of a piece of cake,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0191,water body,a person ' s hand with a green light on it,a small lake surrounded by trees,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0192,forest,a blur of a tree,a picture of a road with a stop sign,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0193,forest,a green grass field with a white background,a piece of cake with a green frosting on top,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0194,cultivated vegetation,a dog is sitting on the grass,an aerial view of the site of the proposed site,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0195,cultivated vegetation,a white cat sitting on top of a green chair,aerial view of the road from the air,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0196,cultivated vegetation,a blur of a building in the middle of a street,a painting of a green field with a small house,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0197,bare ground,a blur of a red and white building,an aerial view of the site of the proposed site,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0198,water body,a white and black cat,a river with a red substance,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0199,forest,a white cat with a black nose,a large green tree,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0200,forest,a person is walking on a path through the woods,a river running through a lush green forest,0.0,0.125,0.0,0.2222222222222222,0.0,0.3032160644503863
R1,tile_0201,bare ground,a pile of green leaves,a large green cake,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0202,bare ground,a blur of pink and green in the background,a large green field,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0203,bare ground,a blur of pink and green leaves,a green wall with a white and black paint,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0204,bare ground,a blur of pink flowers in the background,a green and yellow marble tile,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0205,bare ground,a white ring on a green background,a green wall with a white line in the middle,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0210,bare ground,a man in a suit and tie is standing on a sidewalk,an aerial view of the site of the proposed site,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0211,cultivated vegetation,a black and white cat sitting on top of a table,an aerial view of a farm in the middle of the country,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0212,forest,a zebra is standing in the grass,a river running through a lush green forest,0.0,0.125,0.0,0.2222222222222222,0.0,0.3032160644503863
R1,tile_0213,water body,a person ' s hand is shown in this image,a close up of a green and brown area,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0214,forest,a black belt with a white background,a piece of green moss,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0215,water body,a black and white photo of a person ' s shadow,a piece of cake,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0216,water body,a white and black striped pattern,a small river in the middle of a forest,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0217,water body,a woman with a green shirt and a black shirt,a view of a river and a forest,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0218,bare ground,a green emerald with a white background,a small lake surrounded by a large green field,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0219,bare ground,a blur of pink and green in the sky,a white bird flying over a green wall,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0220,bare ground,a black and white photo of a tree,a bird flying over a green hill,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0221,water body,a person with a white shirt and a black shirt,a river in the middle of a green field,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0222,field,a green and pink sky,a green wall with a white and black paint,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0223,forest,a blur of a green and white flower,a piece of green cake with a fork,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0224,forest,a green and white striped striped pattern,a piece of cake,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0225,forest,a man in a white shirt,a white line in the middle of a green field,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0226,forest,a white line on the ground,a white line on the wall,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0227,bare ground,a white dog is walking on a path,a small lake surrounded by green trees,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0228,bare ground,a white circle on a green field,a river in the middle of a green field,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0233,bare ground,a green and red colored background,a green and purple area,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0234,cultivated vegetation,a white and black cat is standing in a room,aerial view of the fields,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0235,cultivated vegetation,a man in a suit and tie is looking at something,aerial view of the fields,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0236,cultivated vegetation,a blur of a person walking on a sidewalk,aerial view of the river,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0237,cultivated vegetation,a cat is walking on the sidewalk in the dark,a large body of water,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0238,water body,a close up of a keyboard keyboard,a small lake surrounded by a large green field,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0239,water body,a black and white cat,a close up of a piece of cake,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0240,water body,a black object on a white surface,a close up of a leaf with a blury background,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0241,water body,a white cloud in the sky,a red and black bird,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0242,water body,a green field,a cake with a slice missing,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0243,water body,a bird flying in the sky,a bird sitting on a rock,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0244,water body,a black and white cat,a person is skiing down a hill,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0245,water body,a green field,a bird is flying over a green field,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0246,water body,a green mountain,a bird is perched on a branch of a tree,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0247,field,a green tree with white leaves,a green patch of land,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0248,field,a blur of a tree in the sky,a green wall with a white and black sign,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0249,bare ground,a pink and green background with a black and white stripe,a green wall with a small patch of dirt,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0250,bare ground,a close up of a flower with a blur effect,a green wall with a small patch of grass,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0251,bare ground,a close up of a pink flower,a bird is sitting on a rock,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0256,bare ground,a black cat is looking at the camera,a green field,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0257,bare ground,a green and white background,aerial view of a soccer field,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0258,cultivated vegetation,a white sign on a green field,an aerial view of a field with a small house,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0259,cultivated vegetation,a white cat is standing in the grass,aerial photograph of the road leading to the village of stow,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0260,bare ground,a person is doing a trick on a skateboard,aerial view of the farm,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0261,cultivated vegetation,a man in a black shirt and a white shirt,a large field with a road and a small road,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0262,cultivated vegetation,a green leaf with a white background,aerial view of the green fields,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0263,cultivated vegetation,a green stone with a white and black design,an aerial view of a green field,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0264,water body,a green flower,a large body of water,0.0,0.4,0.0,0.5714285714285715,0.0,0.5797386715376658
R1,tile_0265,water body,a small white dog,a green leaf on a tree,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0266,forest,a small bird is flying over the sand,a green leaf on a tree,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0267,forest,a green bush with a white background,a large green cake,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0268,water body,a white sand beach,a bird flying over a lush green forest,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0269,water body,a white and black cat,a bird is flying over a green hill,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0270,water body,a green and white logo on a white background,a bird flying over a lake with a green sky,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0271,field,a tree with green leaves,a large green area,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0272,field,a green and white object with a white stripe,a green wall with a white and black paint,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0273,bare ground,a green substance with a white substance on it,a green wall with a white line,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0274,bare ground,a green and white background with a white line,a river running through a lush green forest,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0279,bare ground,a cow is standing in the grass,an aerial view of the site of the proposed site,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0280,bare ground,a blur of a tree in the sky,an aerial view of the site of the proposed site,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0281,cultivated vegetation,a close up of a flower,a satellite image of a green area,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0282,forest,a bird is perched on a tree branch,an aerial view of a green field,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0283,field,a small animal is standing in the grass,an aerial view of a golf course,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0284,forest,a green and red background with a black background,a green field with a small lake in the middle,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0285,bare ground,a man in a suit and tie,a large green field,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0286,cultivated vegetation,a dog is sitting on the grass,a river running through a lush green forest,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0287,forest,a white dog is walking on the grass,a river running through a lush green forest,0.0,0.125,0.0,0.2222222222222222,0.0,0.3032160644503863
R1,tile_0288,forest,a blur of pink and green in the background,a green wall with a small patch of paint,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0289,bare ground,a blur of pink and green,a green wall with a small patch of grass,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0290,bare ground,a blur of pink and green,a green wall with a small patch of grass,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0291,bare ground,a colorful background with a lot of small squares,a green and yellow wall with a small patch of grass,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0292,bare ground,a black and white cat is walking on the grass,a piece of cake,0.0,0.0,0.0,0.0,0.0,0.0
R1,tile_0293,water body,a white and black striped pattern,a small river,0.0,0.0,0.0,0.0,0.0,0.0
